BAL_AUTH_SUBREGION_CODE,BAL_AUTH_SUBREGION_NAME,BAL_AUTH_ABBR,BAL_AUTH_NAME,TOT_ENERGY_DEMAND_BA_MW,QTY_DATA_CENTERS,TOT_POWER_CAPACITY_MW,UPDATED_AT,
SCE,Southern California Edison - CISO,CAISO,California Independent System Operator,10600.2916666667,66,1045.27995,2026-01-02,
PGAE,Pacific Gas and Electric,CAISO,California Independent System Operator,11350.9166666667,106,1319.28285,2026-01-02,
SDGE,San Diego Gas and Electric - CISO,CAISO,California Independent System Operator,2338.29166666667,10,26.5446,2026-01-02,
SCEN,ERCO - South Central,ERCOT,Electric Reliability Council of Texas,8525.45833333333,49,1288.52570714286,2026-01-02,
SOUT,ERCO - South,ERCOT,Electric Reliability Council of Texas,4054.20833333333,7,4.6002,2026-01-02,
EAST,ERCO - East,ERCOT,Electric Reliability Council of Texas,2044.75,2,8.33045,2026-01-02,
COAS,ERCO - Coast,ERCOT,Electric Reliability Council of Texas,12959.8333333333,30,483.6807,2026-01-02,
NCEN,ERCO - North Central,ERCOT,Electric Reliability Council of Texas,15968.4583333333,97,2084.1081,2026-01-02,
FWES,ERCO - Far West,ERCOT,Electric Reliability Council of Texas,7894.16666666667,6,369.9927,2026-01-02,
NRTH,ERCO - North,ERCOT,Electric Reliability Council of Texas,2078.41666666667,3,104,2026-01-02,
4004,ISNE - Connecticut,ISO-NE,Independent System Operator - New England,3414.58333333333,7,53.5032,2026-01-02,
4007,ISNE - Western/Central Mass.,ISO-NE,Independent System Operator - New England,2030.125,4,21.73705,2026-01-02,
4008,ISNE - Northeast Mass.,ISO-NE,Independent System Operator - New England,2930.75,16,102.54385,2026-01-02,
4005,ISNE - Rhode Island,ISO-NE,Independent System Operator - New England,904.875,3,2.25,2026-01-02,
4002,ISNE - New Hampshire,ISO-NE,Independent System Operator - New England,1488.58333333333,6,1.4413,2026-01-02,
4003,ISNE - Vermont,ISO-NE,Independent System Operator - New England,711.083333333333,1,,2026-01-02,
4001,ISNE - Maine,ISO-NE,Independent System Operator - New England,1458.75,4,5,2026-01-02,
4006,ISNE - Southeast Mass.,ISO-NE,Independent System Operator - New England,1784.875,3,40,2026-01-02,
0006,Zone 6 - MISO,MISO,Midcontinent Independent System Operator,10905.5,24,509.61365,2026-01-02,
0035,Zones 3 and 5 - MISO,MISO,Midcontinent Independent System Operator,11036.9166666667,70,2565.76251290323,2026-01-02,
0027,Zones 2 and 7 - MISO,MISO,Midcontinent Independent System Operator,17734.0833333333,44,235.4715,2026-01-02,
0001,Zone 1 - MISO,MISO,Midcontinent Independent System Operator,11948,32,190.115,2026-01-02,
8910,"Zones 8, 9 and 10 - MISO",MISO,Midcontinent Independent System Operator,22107.25,18,110.8197,2026-01-02,
ZONH & ZONI,Millwood & Dunwoodie - NYIS,NYISO,New York Independent System Operator,1133.20833333333,4,33.2112,2026-01-02,
ZONA,West - NYIS,NYISO,New York Independent System Operator,1881.91666666667,7,7.9266,2026-01-02,
ZONF,Capital - NYIS,NYISO,New York Independent System Operator,1573.625,11,13.5962,2026-01-02,
ZONG,Hudson Valley - NYIS,NYISO,New York Independent System Operator,1292.25,1,10,2026-01-02,
ZONJ,New York City - NYIS,NYISO,New York Independent System Operator,6056.625,16,141.2023,2026-01-02,
ZONK,Long Island - NYIS,NYISO,New York Independent System Operator,2453.58333333333,1,6,2026-01-02,
ZONB,Genesee - NYIS,NYISO,New York Independent System Operator,1269.625,3,2.9164,2026-01-02,
PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,PJM Interconnection,5279.54166666667,38,498.486,2026-01-02,
PL,Pennsylvania Power zone - PJM,PJM,PJM Interconnection,5747.79166666667,1,67.5,2026-01-02,
AEP,American Electric Power zone - PJM,PJM,PJM Interconnection,19811.2916666667,70,2358.4563,2026-01-02,
DEOK,Duke Energy Ohio/Kentucky zone  - PJM,PJM,PJM Interconnection,3525.91666666667,15,68.88945,2026-01-02,
ME,Metropolitan Edison zone - PJM,PJM,PJM Interconnection,2061.5,11,60.10065,2026-01-02,
PEP,Potomac Electric Power zone - PJM,PJM,PJM Interconnection,3881.375,6,18.747,2026-01-02,
ATSI,"American Transmission Systems, Inc. zone - PJM",PJM,PJM Interconnection,8609.33333333333,10,20.41825,2026-01-02,
DOM,Dominion Virginia Power zone - PJM,PJM,PJM Interconnection,17803.2083333333,318,10633.2070828283,2026-01-02,
DUQ,Duquesne Lighting Company zone - PJM,PJM,PJM Interconnection,1640.16666666667,12,24.9066,2026-01-02,
RECO,Rockland Electric (East) zone - PJM,PJM,PJM Interconnection,170.041666666667,10,104.8881,2026-01-02,
CE,Commonwealth Edison zone - PJM,PJM,PJM Interconnection,12142.875,78,2355.56395,2026-01-02,
DPL,Delmarva Power null zone - PJM,PJM,PJM Interconnection,2609.625,6,17.4699,2026-01-02,
BC,Baltimore Gas null zone - PJM,PJM,PJM Interconnection,4159.29166666667,11,43.2071,2026-01-02,
EKPC,East Kentucky Power Cooperative zone - PJM,PJM,PJM Interconnection,2348.58333333333,9,19.21295,2026-01-02,
AP,Allegheny Power zone - PJM,PJM,PJM Interconnection,7428.5,4,22,2026-01-02,
PE,PECO Energy zone - PJM,PJM,PJM Interconnection,5034.70833333333,10,63.1792,2026-01-02,
DAY,Dayton Power null zone - PJM,PJM,PJM Interconnection,2338.41666666667,12,542.5,2026-01-02,
GRDA,Grand River Dam Authority - SWPP,SPP,Southwest Power Pool,982.041666666667,11,507.605,2026-01-02,
SPS,Southwestern Public Service Company - SWPP,SPP,Southwest Power Pool,4159.04166666667,2,14.9579,2026-01-02,
MPS,KCP&L Greater Missouri Operations - SWPP,SPP,Southwest Power Pool,1088.625,2,4.4621,2026-01-02,
INDN,Independence Power - SWPP,SPP,Southwest Power Pool,110.083333333333,8,62.64575,2026-01-02,
LES,Lincoln Electric System - SWPP,SPP,Southwest Power Pool,419.166666666667,3,97,2026-01-02,
SPRM,City of Springfield - SWPP,SPP,Southwest Power Pool,372.958333333333,1,6,2026-01-02,
WR,Westar Energy - SWPP,SPP,Southwest Power Pool,3535.75,8,38.3018,2026-01-02,
OKGE,Oklahoma Gas and Electric Co. - SWPP,SPP,Southwest Power Pool,4142.33333333333,11,33.16225,2026-01-02,
OPPD,Omaha Public Power District - SWPP,SPP,Southwest Power Pool,1936.875,23,815.8385,2026-01-02,
