,,,,,
,,,,,
,,,,,
BAL_AUTH_NAME,BAL_AUTH_ABBR,ENERGY DEMAND ISO,DATA CENTERS POWER CAPACITY,DATA CENTER ENERGY COVERAGE,
California Independent System Operator,CAISO,"24,289.50 MW","2,391.11 MW",9.8%,
Electric Reliability Council of Texas,ERCOT,"53,525.29 MW","4,343.24 MW",8.1%,
Independent System Operator - New England,ISO-NE,"14,723.63 MW",226.48 MW,1.5%,
Midcontinent Independent System Operator,MISO,"73,731.75 MW","3,611.78 MW",4.9%,
New York Independent System Operator,NYISO,"15,660.83 MW",214.85 MW,1.4%,
PJM Interconnection,PJM,"104,592.17 MW","16,918.73 MW",16.2%,
Southwest Power Pool,SPP,"16,746.88 MW","1,579.97 MW",9.4%,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
BAL_AUTH_ABBR,CAISO,,,,
,,,,,
SUBREGION CODE,SUBREGION NAME,TOTAL DATA CENTERS,ISO/RTO ENERGY DEMAND,DATA CENTER POWER CAPACITY,DATA CENTER ENERGY COVERAGE
PGAE,Pacific Gas and Electric,106,"11,350.92 MW","1,319.28 MW",11.6%
SCE,Southern California Edison - CISO,66,"10,600.29 MW","1,045.28 MW",9.9%
SDGE,San Diego Gas and Electric - CISO,10,"2,338.29 MW",26.54 MW,1.1%
Grand Total,,182,"24,289.50 MW","2,391.11 MW",9.8%
,,,,,
BAL_AUTH_ABBR,ERCOT,,,,
,,,,,
SUBREGION CODE,SUBREGION NAME,TOTAL DATA CENTERS,ISO/RTO ENERGY DEMAND,DATA CENTER POWER CAPACITY,DATA CENTER ENERGY COVERAGE
COAS,ERCO - Coast,30,"12,959.83 MW",483.68 MW,3.7%
EAST,ERCO - East,2,"2,044.75 MW",8.33 MW,0.4%
FWES,ERCO - Far West,6,"7,894.17 MW",369.99 MW,4.7%
NCEN,ERCO - North Central,97,"15,968.46 MW","2,084.11 MW",13.1%
SCEN,ERCO - South Central,49,"8,525.46 MW","1,288.53 MW",15.1%
SOUT,ERCO - South,7,"4,054.21 MW",4.60 MW,0.1%
NRTH,ERCO - North,3,"2,078.42 MW",104.00 MW,5.0%
Grand Total,,194,"53,525.29 MW","4,343.24 MW",8.1%
,,,,,
BAL_AUTH_ABBR,SPP,,,,
,,,,,
SUBREGION CODE,SUBREGION NAME,TOTAL DATA CENTERS,ISO/RTO ENERGY DEMAND,DATA CENTER POWER CAPACITY,DATA CENTER ENERGY COVERAGE
GRDA,Grand River Dam Authority - SWPP,11,982.04 MW,507.61 MW,51.7%
INDN,Independence Power - SWPP,8,110.08 MW,62.65 MW,56.9%
LES,Lincoln Electric System - SWPP,3,419.17 MW,97.00 MW,23.1%
MPS,KCP&L Greater Missouri Operations - SWPP,2,"1,088.63 MW",4.46 MW,0.4%
OKGE,Oklahoma Gas and Electric Co. - SWPP,11,"4,142.33 MW",33.16 MW,0.8%
OPPD,Omaha Public Power District - SWPP,23,"1,936.88 MW",815.84 MW,42.1%
SPRM,City of Springfield - SWPP,1,372.96 MW,6.00 MW,1.6%
SPS,Southwestern Public Service Company - SWPP,2,"4,159.04 MW",14.96 MW,0.4%
WR,Westar Energy - SWPP,8,"3,535.75 MW",38.30 MW,1.1%
Grand Total,,69,"16,746.88 MW","1,579.97 MW",9.4%
,,,,,
BAL_AUTH_ABBR,MISO,,,,
,,,,,
SUBREGION CODE,SUBREGION NAME,TOTAL DATA CENTERS,ISO/RTO ENERGY DEMAND,DATA CENTER POWER CAPACITY,DATA CENTER ENERGY COVERAGE
0001,Zone 1 - MISO,32,"11,948.00 MW",190.12 MW,1.6%
0006,Zone 6 - MISO,24,"10,905.50 MW",509.61 MW,4.7%
0027,Zones 2 and 7 - MISO,44,"17,734.08 MW",235.47 MW,1.3%
0035,Zones 3 and 5 - MISO,70,"11,036.92 MW","2,565.76 MW",23.2%
8910,"Zones 8, 9 and 10 - MISO",18,"22,107.25 MW",110.82 MW,0.5%
Grand Total,,188,"73,731.75 MW","3,611.78 MW",4.9%
,,,,,
BAL_AUTH_ABBR,PJM,,,,
,,,,,
SUBREGION CODE,SUBREGION NAME,TOTAL DATA CENTERS,ISO/RTO ENERGY DEMAND,DATA CENTER POWER CAPACITY,DATA CENTER ENERGY COVERAGE
AEP,American Electric Power zone - PJM,70,"19,811.29 MW","2,358.46 MW",11.9%
AP,Allegheny Power zone - PJM,4,"7,428.50 MW",22.00 MW,0.3%
ATSI,"American Transmission Systems, Inc. zone - PJM",10,"8,609.33 MW",20.42 MW,0.2%
BC,Baltimore Gas null zone - PJM,11,"4,159.29 MW",43.21 MW,1.0%
CE,Commonwealth Edison zone - PJM,78,"12,142.88 MW","2,355.56 MW",19.4%
DAY,Dayton Power null zone - PJM,12,"2,338.42 MW",542.50 MW,23.2%
DEOK,Duke Energy Ohio/Kentucky zone  - PJM,15,"3,525.92 MW",68.89 MW,2.0%
DOM,Dominion Virginia Power zone - PJM,318,"17,803.21 MW","10,633.21 MW",59.7%
DPL,Delmarva Power null zone - PJM,6,"2,609.63 MW",17.47 MW,0.7%
DUQ,Duquesne Lighting Company zone - PJM,12,"1,640.17 MW",24.91 MW,1.5%
EKPC,East Kentucky Power Cooperative zone - PJM,9,"2,348.58 MW",19.21 MW,0.8%
ME,Metropolitan Edison zone - PJM,11,"2,061.50 MW",60.10 MW,2.9%
PE,PECO Energy zone - PJM,10,"5,034.71 MW",63.18 MW,1.3%
PEP,Potomac Electric Power zone - PJM,6,"3,881.38 MW",18.75 MW,0.5%
PL,Pennsylvania Power zone - PJM,1,"5,747.79 MW",67.50 MW,1.2%
PS,Public Service Electric & Gas of New Jersey zone - PJM,38,"5,279.54 MW",498.49 MW,9.4%
RECO,Rockland Electric (East) zone - PJM,10,170.04 MW,104.89 MW,61.7%
Grand Total,,621,"104,592.17 MW","16,918.73 MW",16.2%
,,,,,
BAL_AUTH_ABBR,NYISO,,,,
,,,,,
SUBREGION CODE,SUBREGION NAME,TOTAL DATA CENTERS,ISO/RTO ENERGY DEMAND,DATA CENTER POWER CAPACITY,DATA CENTER ENERGY COVERAGE
ZONA,West - NYIS,7,"1,881.92 MW",7.93 MW,0.4%
ZONB,Genesee - NYIS,3,"1,269.63 MW",2.92 MW,0.2%
ZONF,Capital - NYIS,11,"1,573.63 MW",13.60 MW,0.9%
ZONG,Hudson Valley - NYIS,1,"1,292.25 MW",10.00 MW,0.8%
ZONH & ZONI,Millwood & Dunwoodie - NYIS,4,"1,133.21 MW",33.21 MW,2.9%
ZONJ,New York City - NYIS,16,"6,056.63 MW",141.20 MW,2.3%
ZONK,Long Island - NYIS,1,"2,453.58 MW",6.00 MW,0.2%
Grand Total,,43,"15,660.83 MW",214.85 MW,1.4%
,,,,,
BAL_AUTH_ABBR,ISO-NE,,,,
,,,,,
SUBREGION CODE,SUBREGION NAME,TOTAL DATA CENTERS,ISO/RTO ENERGY DEMAND,DATA CENTER POWER CAPACITY,DATA CENTER ENERGY COVERAGE
4001,ISNE - Maine,4,"1,458.75 MW",5.00 MW,0.3%
4002,ISNE - New Hampshire,6,"1,488.58 MW",1.44 MW,0.1%
4003,ISNE - Vermont,1,711.08 MW,,0.0%
4004,ISNE - Connecticut,7,"3,414.58 MW",53.50 MW,1.6%
4005,ISNE - Rhode Island,3,904.88 MW,2.25 MW,0.2%
4006,ISNE - Southeast Mass.,3,"1,784.88 MW",40.00 MW,2.2%
4007,ISNE - Western/Central Mass.,4,"2,030.13 MW",21.74 MW,1.1%
4008,ISNE - Northeast Mass.,16,"2,930.75 MW",102.54 MW,3.5%
Grand Total,,44,"14,723.63 MW",226.48 MW,1.5%
