0. Maximum Updated Date,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.0 Updated Date Label (From Pipeline job date),,,,,,,,,,,,,,,
Row Labels,,,,,,,,,,,,,,,
2026-01-02,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.1 General (Recorded Date),,,,,,,,,,,,,,,
LATEST_DATE,LATEST INDEX,,,,,,,,,,,,,,
12/31/25,17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.2 By Stage,,,,,,,,,,,,,,,
Row Labels,LATEST_DATE,LATEST INDEX,INDEX STAGE,FINAL ROW,,,,,,,,,,,
Active,11/30/25,15,1,14,,,,,,,,,,,
Announcement,12/31/25,17,2,32,,,,,,,,,,,
Cancelled,6/30/25,6,3,39,,,,,,,,,,,
Construction,12/31/25,17,4,57,,,,,,,,,,,
Delayed,10/31/25,8,5,66,,,,,,,,,,,
Not Approved/Withdrawn,11/30/25,14,6,81,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Row Labels,# Facilities,,,,,,,,,,,,,,
Active,"1,933",,,,,,,,,,,,,,
Announcement,"2,712",,,,,,,,,,,,,,
Cancelled,16,,,,,,,,,,,,,,
Construction,624,,,,,,,,,,,,,,
Delayed,50,,,,,,,,,,,,,,
Not Approved/Withdrawn,308,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Row Labels,# Facilities,,,,,,,,,,,,,,
Active,44.30 GW,,,,,,,,,,,,,,
Announcement,214.27 GW,,,,,,,,,,,,,,
Cancelled,0.97 GW,,,,,,,,,,,,,,
Construction,41.63 GW,,,,,,,,,,,,,,
Delayed,2.97 GW,,,,,,,,,,,,,,
Not Approved/Withdrawn,17.19 GW,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Row Labels,# Facilities,,,,,,,,,,,,,,
Active,282.45 M sqft,,,,,,,,,,,,,,
Announcement,556.02 M sqft,,,,,,,,,,,,,,
Cancelled,3.07 M sqft,,,,,,,,,,,,,,
Construction,159.94 M sqft,,,,,,,,,,,,,,
Delayed,16.25 M sqft,,,,,,,,,,,,,,
Not Approved/Withdrawn,70.8 M sqft,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1. Main KPIs,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
DATACENTER_STAGE,(All),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Row Labels,TOTAL,TOTAL ACCUM,SUM POWER MWH,SUM POWER MWH ACCUM,AVG POWER MWH,AVG POWER MWH ACCUM,SUM SPACE SQFT,SUM SPACE SQFT ACCUM,AVG SPACE SQFT,AVG SPACE SQFT ACCUM,,,,,
8/31/24,"1,754","1,754",41.94 GW,41.94 GW,0.03 GW,0.03 GW,277.16 M sqft,277.16 M sqft,0.17 M sqft,0.17 M sqft,,,,,
9/30/24,419,"2,173",24.83 GW,66.77 GW,0.06 GW,0.09 GW,96.84 M sqft,374 M sqft,0.27 M sqft,0.44 M sqft,,,,,
10/31/24,178,"2,351",8.37 GW,75.13 GW,0.05 GW,0.13 GW,38.73 M sqft,412.73 M sqft,0.22 M sqft,0.66 M sqft,,,,,
11/30/24,276,"2,627",15.44 GW,90.58 GW,0.06 GW,0.19 GW,67.87 M sqft,480.59 M sqft,0.26 M sqft,0.92 M sqft,,,,,
12/31/24,179,"2,806",12.09 GW,102.66 GW,0.07 GW,0.26 GW,51.97 M sqft,532.56 M sqft,0.31 M sqft,1.23 M sqft,,,,,
1/31/25,262,"3,068",16.48 GW,119.14 GW,0.07 GW,0.33 GW,72.84 M sqft,605.4 M sqft,0.33 M sqft,1.56 M sqft,,,,,
2/28/25,180,"3,248",10.16 GW,129.30 GW,0.06 GW,0.39 GW,21.92 M sqft,627.32 M sqft,0.2 M sqft,1.75 M sqft,,,,,
3/31/25,210,"3,458",14.36 GW,143.66 GW,0.07 GW,0.46 GW,55.64 M sqft,682.96 M sqft,0.31 M sqft,2.06 M sqft,,,,,
4/30/25,159,"3,617",15.23 GW,158.89 GW,0.10 GW,0.57 GW,45.9 M sqft,728.86 M sqft,0.39 M sqft,2.45 M sqft,,,,,
5/31/25,180,"3,797",12.95 GW,171.84 GW,0.08 GW,0.64 GW,54.11 M sqft,782.97 M sqft,0.4 M sqft,2.85 M sqft,,,,,
6/30/25,232,"4,029",23.69 GW,195.54 GW,0.10 GW,0.75 GW,63.44 M sqft,846.41 M sqft,0.3 M sqft,3.15 M sqft,,,,,
7/31/25,288,"4,317",18.84 GW,214.38 GW,0.07 GW,0.82 GW,63.03 M sqft,909.44 M sqft,0.36 M sqft,3.51 M sqft,,,,,
8/31/25,351,"4,668",32.08 GW,246.46 GW,0.10 GW,0.92 GW,63.75 M sqft,973.19 M sqft,0.35 M sqft,3.87 M sqft,,,,,
9/30/25,200,"4,868",16.77 GW,263.23 GW,0.10 GW,1.02 GW,20.48 M sqft,993.68 M sqft,0.29 M sqft,4.16 M sqft,,,,,
10/31/25,292,"5,160",17.84 GW,281.07 GW,0.08 GW,1.10 GW,47.54 M sqft,"1,041.21 M sqft",0.29 M sqft,4.44 M sqft,,,,,
11/30/25,323,"5,483",29.87 GW,310.94 GW,0.11 GW,1.21 GW,32.86 M sqft,"1,074.08 M sqft",0.38 M sqft,4.82 M sqft,,,,,
12/31/25,160,"5,643",10.38 GW,321.32 GW,0.08 GW,1.29 GW,14.47 M sqft,"1,088.54 M sqft",0.24 M sqft,5.06 M sqft,,,,,
Grand Total,"5,643",,321.32 GW,,0.06 GW,,"1,088.54 M sqft",,0.25 M sqft,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1.1. Calculating Growth Rates,,,,,,,,,,,,,,,
LATEST UPDATED,TOTAL,SUM POWER MWH,AVG POWER MWH,SUM SQFT,AVG SQFT,TOTAL ADD,SUM POWER MWH ADD,AVG POWER MWH ADD,SUM SQFT ADD,AVG SQFT ADD,GR TOTAL,GR SUM POWER MWH,GR AVG POWER MWH,GR SUM SQFT,GR AVG SQFT
2026-01-02,"5,643",321.32 GW,1.29 GW,"1,088.54 M sqft",5.06 M sqft,160,10.38 GW,0.08 GW,14.47 M sqft,0.24 M sqft,▲ 2.92%,▲ 3.34%,▲ 6.92%,▲ 1.35%,▲ 4.92%
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2. Main KPIS By Stage,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
DATACENTER_STAGE,RECORD_UPDATED_DATE,TOTAL,TOTAL ACCUM,SUM POWER MWH,SUM POWER MWH ACCUM,AVG POWER MWH,AVG POWER MWH ACCUM,SUM SPACE SQFT,SUM SPACE SQFT ACCUM,AVG SPACE SQFT,AVG SPACE SQFT ACCUM,,,,
Active,8/31/24,"1,582","1,582",31.55 GW,31.55 GW,0.02 GW,0.02 GW,222.86 M sqft,222.86 M sqft,0.15 M sqft,0.15 M sqft,,,,
Active,9/30/24,102,"1,684",4.69 GW,36.24 GW,0.05 GW,0.07 GW,22.48 M sqft,245.34 M sqft,0.23 M sqft,0.38 M sqft,,,,
Active,10/31/24,54,"1,738",2.16 GW,38.41 GW,0.04 GW,0.11 GW,10.27 M sqft,255.61 M sqft,0.19 M sqft,0.57 M sqft,,,,
Active,11/30/24,75,"1,813",3.40 GW,41.80 GW,0.05 GW,0.15 GW,14.88 M sqft,270.49 M sqft,0.2 M sqft,0.77 M sqft,,,,
Active,12/31/24,15,"1,828",0.40 GW,42.20 GW,0.03 GW,0.18 GW,2.19 M sqft,272.68 M sqft,0.17 M sqft,0.94 M sqft,,,,
Active,1/31/25,5,"1,833",0.14 GW,42.34 GW,0.03 GW,0.21 GW,2.21 M sqft,274.88 M sqft,0.55 M sqft,1.49 M sqft,,,,
Active,2/28/25,36,"1,869",0.26 GW,42.60 GW,0.01 GW,0.22 GW,2.11 M sqft,277 M sqft,0.06 M sqft,1.55 M sqft,,,,
Active,3/31/25,17,"1,886",0.70 GW,43.31 GW,0.04 GW,0.26 GW,3.82 M sqft,280.82 M sqft,0.29 M sqft,1.85 M sqft,,,,
Active,5/31/25,11,"1,897",0.01 GW,43.32 GW,0.00 GW,0.26 GW,0.15 M sqft,280.97 M sqft,0.03 M sqft,1.88 M sqft,,,,
Active,6/30/25,1,"1,898",0.02 GW,43.34 GW,0.02 GW,0.28 GW,0.07 M sqft,281.04 M sqft,0.07 M sqft,1.95 M sqft,,,,
Active,7/31/25,1,"1,899",0.00 GW,43.34 GW,0.00 GW,0.28 GW,0.01 M sqft,281.05 M sqft,0.01 M sqft,1.96 M sqft,,,,
Active,8/31/25,18,"1,917",0.62 GW,43.96 GW,0.06 GW,0.34 GW,0.4 M sqft,281.45 M sqft,0.08 M sqft,2.04 M sqft,,,,
Active,9/30/25,5,"1,922",0.12 GW,44.08 GW,0.03 GW,0.37 GW,0.48 M sqft,281.93 M sqft,0.12 M sqft,2.16 M sqft,,,,
Active,10/31/25,7,"1,929",0.04 GW,44.12 GW,0.01 GW,0.38 GW,0.52 M sqft,282.45 M sqft,0.13 M sqft,2.29 M sqft,,,,
Active,11/30/25,4,"1,933",0.17 GW,44.30 GW,0.06 GW,0.43 GW,,282.45 M sqft,,2.29 M sqft,,,,
Active Total,,"1,933",,44.30 GW,,0.02 GW,,282.45 M sqft,,0.16 M sqft,,,,,
Announcement,8/31/24,83,83,4.74 GW,4.74 GW,0.06 GW,0.06 GW,24.16 M sqft,24.16 M sqft,0.35 M sqft,0.35 M sqft,,,,
Announcement,9/30/24,134,217,10.19 GW,14.94 GW,0.08 GW,0.14 GW,30.57 M sqft,54.73 M sqft,0.32 M sqft,0.67 M sqft,,,,
Announcement,10/31/24,73,290,3.13 GW,18.07 GW,0.04 GW,0.18 GW,13.62 M sqft,68.35 M sqft,0.19 M sqft,0.86 M sqft,,,,
Announcement,11/30/24,131,421,7.99 GW,26.05 GW,0.06 GW,0.24 GW,35.74 M sqft,104.09 M sqft,0.29 M sqft,1.15 M sqft,,,,
Announcement,12/31/24,106,527,6.01 GW,32.07 GW,0.06 GW,0.30 GW,29.93 M sqft,134.02 M sqft,0.3 M sqft,1.45 M sqft,,,,
Announcement,1/31/25,182,709,12.57 GW,44.63 GW,0.07 GW,0.37 GW,54.1 M sqft,188.12 M sqft,0.33 M sqft,1.78 M sqft,,,,
Announcement,2/28/25,123,832,8.73 GW,53.37 GW,0.08 GW,0.45 GW,15.23 M sqft,203.35 M sqft,0.25 M sqft,2.03 M sqft,,,,
Announcement,3/31/25,163,995,11.89 GW,65.26 GW,0.08 GW,0.53 GW,46.36 M sqft,249.71 M sqft,0.31 M sqft,2.34 M sqft,,,,
Announcement,4/30/25,117,"1,112",11.61 GW,76.87 GW,0.10 GW,0.63 GW,35.61 M sqft,285.32 M sqft,0.38 M sqft,2.73 M sqft,,,,
