ATERIO_DATA_CENTER_UID,DATA_CENTER_BUILDING_NAME,ATERIO_DATA_CENTER_CAMPUS_UID,DATA_CENTER_CAMPUS_NAME,DATA_CENTER_STAGE,FLG_AI_FACILITY,FLG_BTM_ONSITE_POWER_GENERATION,TOT_PROJECT_COST,ATERIO_PROVIDER_UID,PROVIDER_NAME,PROVIDER_URL,PROVIDER_PUBLIC_PRIVATE,PROVIDER_TICKER_NAME,PROVIDER_BLOOMBERG_TICKER_NAME,STOCK_EXCHANGE_PROVIDER_NAME,PROVIDER_BACKED_BY,COMPANIES_INVOLVED,FULL_ADDRESS,ZIP_CODE,COUNTY_FIPS_CODE,COUNTY_NAME,CITY_NAME,PLACE_FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_CODE,COUNTRY_NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,SITE_ACREAGE,TOT_FACILITY_SPACE_SQFT,TOT_DATACENTER_SPACE_SQFT,PROV_PUB_TOT_POWER_CAPACITY_MW,ATERIO_EST_TOT_POWER_CAPACITY_MW,ATERIO_EST_TOT_POWER_CAPACITY_MW_LOWER,ATERIO_EST_TOT_POWER_CAPACITY_MW_UPPER,SELECTED_POWER_CAPACITY_MW,AVG_MARKET_POWER_COST,YEARLY_PUE,TOT_NUM_GENERATORS,DATA_CENTER_ANNOUNCED_DATE,DATA_CENTER_CANCELLED_DATE,DATA_CENTER_PROJECT_WITHDRAWN_DATE,DATA_CENTER_CONSTRUCTION_START_DATE,LATEST_SATELLITE_PICTURE_DATE,PCT_CONSTRUCTION_STATUS,DATA_CENTER_CONSTRUCTION_FINISHED_DATE,DATA_CENTER_ACTIVATION_DATE,ESTIMATED_ACTIVE_DATE_BY,ATERIO_ELECTRICAL_UTILITY_UID,UTILITY_NAME,UTILITY_CODE,UTILITY_PUBLIC_PRIVATE,UTILITY_TICKER_NAME,UTILITY_BLOOMBERG_TICKER_NAME,UTILITY_EXCHANGE_PROVIDER_TICKER_NAME,ATERIO_BAL_AUTH_UID,BAL_AUTH_ABBR,BAL_AUTH_NAME,ATERIO_BAL_AUTH_SUBREGION_UID,BAL_AUTH_SUBREGION_CODE,BAL_AUTH_SUBREGION_NAME,DATASHEET_URL,MAP_URL,PROJECT_PERMIT_URL,CAPEX_URL,PROJECT_EXECUTION_LIKELIHOOD,NOTES,RECORD_CREATED_DATE,RECORD_UPDATED_DATE,UPDATED_AT
14c3ec08-1803-4368-ac7a-fbd879e635eb,Southfield Data Center NW (DC2),15471167-b182-4a84-9204-3befe56d5657,"Southfield, 123NET Campus",Active,,,,f22930d7-d032-4fc9-90dd-ca83628f7994,123NET,https://www.123.net,Private,,,,https://graingp.com/,,"24275 Northwestern Hwy, Southfield, MI, USA",48075,26125,Oakland County,Southfield,74900,MI,Michigan,US,United States,42.467033,-83.235,,21000,8000,1,1.06,1.01,1.11,1,,,,,,,,,,,10/30/06,,26749c83-6e33-400d-b547-24f87a25d36b,DTE Electric Company,5109,Public,DTE,DTE:US,NYSE:DTE,cead66ff-8552-43d5-b723-aeedd7318b2b,MISO,Midcontinent Independent System Operator,3733cb81-030b-4603-b6fb-0888ceb4bd68,27,Zones 2 and 7 - MISO,https://www.123.net/data-center-colocation/,https://maps.app.goo.gl/5Qw1wJUiGjfo4GHP9,,,,,7/1/24,9/20/24,1/5/26
5eac30df-7851-4905-8cd6-6c96b34da23b,Southfield Data Center W (DC3),15471167-b182-4a84-9204-3befe56d5657,"Southfield, 123NET Campus",Active,,,,f22930d7-d032-4fc9-90dd-ca83628f7994,123NET,https://www.123.net,Private,,,,https://graingp.com/,,"24245 Northwestern Hwy, Southfield, MI, USA",48075,26125,Oakland County,Southfield,74900,MI,Michigan,US,United States,42.46686,-83.234665,,21000,8000,1,1.29,1.23,1.35,1,,,,,,,,,,,10/30/06,,26749c83-6e33-400d-b547-24f87a25d36b,DTE Electric Company,5109,Public,DTE,DTE:US,NYSE:DTE,cead66ff-8552-43d5-b723-aeedd7318b2b,MISO,Midcontinent Independent System Operator,3733cb81-030b-4603-b6fb-0888ceb4bd68,27,Zones 2 and 7 - MISO,https://www.123.net/data-center-colocation/,https://maps.app.goo.gl/uqhC4bmsqgFxmo8M9,,,,,7/1/24,9/20/24,1/5/26
302036dd-074a-45de-92fb-15bc3540a4c7,CHIL1 MTC Data Center,,,Active,,,,cc7c624a-756c-4183-8d7a-f4cc9f13aa97,1547 Critical Systems Realty,https://www.1547realty.com,Private,,,,,,"40 E Garfield Blvd, Chicago, IL, USA",60615,17031,Cook County,Chicago,14000,IL,Illinois,US,United States,41.794888,-87.62457,,230000,230000,24,22.89,21.83,24.01,24,,,,,,,,,,,,,222a249b-639d-4c33-9bba-36724efea762,Commonwealth Edison Co,4110,Private (Part of Exelon Corp),EXC,EXC:US,NASDAQ:EXC,35f051b0-f1ce-470d-81d2-ea5c0d197f3a,PJM,PJM Interconnection,e84646c2-7438-4a4c-916e-953518bd940a,CE,Commonwealth Edison zone - PJM,https://www.1547realty.com/data-center/chicago-il-chil1/,https://maps.app.goo.gl/2KTnfi5z8T6e9XGi8,,,,[2025-02-12 JR] Additional Info: Data Center sqft and capacity updated,7/1/24,12/5/25,1/5/26
28ab55b6-0148-4b98-87ad-c0b4d8dd2a05,ORNY1 Orangeburg Data Center,,,Active,,,,cc7c624a-756c-4183-8d7a-f4cc9f13aa97,1547 Critical Systems Realty,https://www.1547realty.com,Private,,,,,,"1 Ramland Road South, Orangeburg, NY, USA",10962,36087,Rockland County,Orangeburg,55167,NY,New York,US,United States,41.03341,-73.9708,,232000,232000,24,23.16,22.09,24.29,24,,,,,,,,,,,1/30/15,,85d629c4-28b0-47db-b275-107564a0a5d6,Orange & Rockland Utils Inc,14154,Private,,,,ee53ff3c-b180-48a0-b3fb-50539e5f46a0,NYISO,New York Independent System Operator,,,,https://www.1547realty.com/data-center/orangeburg-new-york-orny1/,https://maps.app.goo.gl/i1zLybhEV7R2aaTp6,,,,[2025-02-12 JR] Additional Info: Data Center sqft and capacity updated,7/1/24,12/8/25,1/5/26
c5fe22bd-0670-427c-ae03-5674b8e007ef,MIWI1 Wells Building Data Center,,,Active,,,,cc7c624a-756c-4183-8d7a-f4cc9f13aa97,1547 Critical Systems Realty,https://www.1547realty.com,Private,,,,,,"324 East Wisconsin Avenue, Milwaukee, WI, USA",53202,55079,Milwaukee County,Milwaukee,53000,WI,Wisconsin,US,United States,43.03904,-87.90704,,160000,5000,0.5,0.6,0.57,0.63,0.5,8.25,,,,,,,,,,,,94a63322-5c22-4deb-b119-22fd3e409638,Wisconsin Electric Power Co,20847,Public,WEC,WEC:US,NYSE:WEC,cead66ff-8552-43d5-b723-aeedd7318b2b,MISO,Midcontinent Independent System Operator,3733cb81-030b-4603-b6fb-0888ceb4bd68,27,Zones 2 and 7 - MISO,https://www.1547realty.com/data-center/milwaukee-wi-miwi1/,https://maps.app.goo.gl/CYGECo5FQo559uWJA,,,,,7/1/24,9/20/24,1/5/26
83b54f12-8ad5-4318-8fbc-0d87e46a07a7,Chester County Data Center Building 1,0d0cee86-6c51-4401-aa69-92d99874a84a,"Philadelphia, 1547 Campus",Announcement,Y,Y,,cc7c624a-756c-4183-8d7a-f4cc9f13aa97,1547 Critical Systems Realty,https://www.1547realty.com,Private,,,,,,"Chester Valley Trl, Exton, PA",19341,42029,Chester County,Exton,24440,PA,Pennsylvania,US,United States,40.03926,-75.59227,100,250000,250000,72,47.7,45.49,50.03,72,,,,1/16/24,,,,11/5/25,0,,3/31/27,Aterio,52a226db-b188-418c-89dc-e9ec5727be9c,PECO Energy Co,14940,Public,EXC,EXC:US,NASDAQ:EXC,35f051b0-f1ce-470d-81d2-ea5c0d197f3a,PJM,PJM Interconnection,f1aefb2f-978e-4766-aab5-9efbaed754e9,ME,Metropolitan Edison zone - PJM,https://www.businesswire.com/news/home/20240116194541/en/fifteenfortyseven-Critical-Systems-Realty-Unveils-Details-on-its-Hyperscale-Data-Center-Development-Project-in-Pennsylvania,https://maps.app.goo.gl/PUMR87GtJg6LAYKc8,,,Low,"[2024-12-19 JR] Latest Satellite: 2024-10-29; Construction Status: No Construction; Estimated Active Date By: Aterio
[2025-09-19 YK] Additional Info: Activation Date Updated
[2025-11-26 JR] BTM: carbon-free power generation and solar capabilities",11/22/24,12/8/25,1/5/26
d74a7344-e5e7-45af-a650-2e5360706d0d,Chester County Data Center Building 3,0d0cee86-6c51-4401-aa69-92d99874a84a,"Philadelphia, 1547 Campus",Announcement,Y,Y,,cc7c624a-756c-4183-8d7a-f4cc9f13aa97,1547 Critical Systems Realty,https://www.1547realty.com,Private,,,,,,"Chester Valley Trl, Exton, PA",19341,42029,Chester County,Exton,24440,PA,Pennsylvania,US,United States,40.03926,-75.59227,100,250000,250000,72,47.7,45.49,50.03,72,,,,1/16/24,,,,11/5/25,0,,5/27/27,Aterio,52a226db-b188-418c-89dc-e9ec5727be9c,PECO Energy Co,14940,Public,EXC,EXC:US,NASDAQ:EXC,35f051b0-f1ce-470d-81d2-ea5c0d197f3a,PJM,PJM Interconnection,f1aefb2f-978e-4766-aab5-9efbaed754e9,ME,Metropolitan Edison zone - PJM,https://www.businesswire.com/news/home/20240116194541/en/fifteenfortyseven-Critical-Systems-Realty-Unveils-Details-on-its-Hyperscale-Data-Center-Development-Project-in-Pennsylvania,https://maps.app.goo.gl/PUMR87GtJg6LAYKc8,,,Low,"[2024-12-19 JR] Latest Satellite: 2024-10-29; Construction Status: No Construction; Estimated Active Date By: Aterio
[2025-09-19 YK] Additional Info: Activation Date Updated
[2025-11-26 JR] BTM: carbon-free power generation and solar capabilities",11/22/24,12/8/25,1/5/26
18ae0d0f-6185-486c-9d33-77c155f34105,CH6 Chicago Data Center,,,Active,,,,6c053c05-6487-42e6-9ad7-5c5b73168dbd,365 Data Centers,https://www.365datacenters.com,Private,,,,,,"427 South LaSalle Street, Chicago, IL, USA",60605,17031,Cook County,Chicago,14000,IL,Illinois,US,United States,41.876213,-87.631454,,10000,10000,1,1.51,1.44,1.58,1,,,,,,,,,,,1/1/00,,222a249b-639d-4c33-9bba-36724efea762,Commonwealth Edison Co,4110,Private (Part of Exelon Corp),EXC,EXC:US,NASDAQ:EXC,35f051b0-f1ce-470d-81d2-ea5c0d197f3a,PJM,PJM Interconnection,e84646c2-7438-4a4c-916e-953518bd940a,CE,Commonwealth Edison zone - PJM,https://365datacenters.com/chicago-data-center/,https://maps.app.goo.gl/UreXPxboudebAeQZ8,,,,,7/1/24,9/20/24,1/5/26
af48ab77-f0ea-4c39-a5f2-d5f913a2ecee,PA1 Philadelphia Data Center,,,Active,,,,6c053c05-6487-42e6-9ad7-5c5b73168dbd,365 Data Centers,https://www.365datacenters.com,Private,,,,,,"1500 Spring Garden Street, Philadelphia, PA, USA",19130,42101,Philadelphia County,Philadelphia,60000,PA,Pennsylvania,US,United States,39.962116,-75.164055,,135100,135100,10,9.55,9.11,10.01,10,7.14,,,,,,,,,,5/30/07,,52a226db-b188-418c-89dc-e9ec5727be9c,PECO Energy Co,14940,Public,EXC,EXC:US,NASDAQ:EXC,35f051b0-f1ce-470d-81d2-ea5c0d197f3a,PJM,PJM Interconnection,ce983ef3-0d1d-4bd4-ae46-013f5f1d08b9,PE,PECO Energy zone - PJM,https://365datacenters.com/philadelphia-data-center-2/,https://maps.app.goo.gl/QvhwLVEkm1Da9j6P9,,,,,7/1/24,12/8/25,1/5/26
691cc6a7-fd17-4148-89ab-776a6f40e273,TX1 Richardson Data Center,,,Active,,,,6c053c05-6487-42e6-9ad7-5c5b73168dbd,365 Data Centers,https://www.365datacenters.com,Private,,,,,,"1001 East Campbell Road, Richardson, TX, USA",75081,48113,Dallas County,Richardson,61796,TX,Texas,US,United States,32.976135,-96.70743,,75100,75100,6,6.54,6.24,6.86,6,5.51,,,,,,,,,,7/30/02,,1ebbb343-179f-4d9d-a878-d6b03846b4c4,City of Garland - (TX),6958,Public (Municipality),,,,1fc90153-5419-4455-91f9-cee1dda4ed00,ERCOT,Electric Reliability Council of Texas,14cc320b-3a3d-47a9-83a4-e27eff5c1700,NCEN,ERCO - North Central,https://365datacenters.com/richardson-data-center/,https://maps.app.goo.gl/t6xwpcRShHoH4iDj6,,,,,7/1/24,12/5/25,1/5/26
