state,year,sector,electricity_usage
AK,1990,Commercial,1972116
AK,1990,Industrial,459282
AK,1990,Residential,1661311
AK,1991,Commercial,2005247
AK,1991,Industrial,465878
AK,1991,Residential,1602777
AK,1992,Commercial,2034708
AK,1992,Industrial,504277
AK,1992,Residential,1640136
AK,1993,Commercial,2062399
AK,1993,Industrial,501059
AK,1993,Residential,1629036
AK,1994,Commercial,2154843
AK,1994,Industrial,511428
AK,1994,Residential,1688134
AK,1995,Commercial,2200043
AK,1995,Industrial,546437
AK,1995,Residential,1712906
AK,1996,Commercial,2249874
AK,1996,Industrial,584198
AK,1996,Residential,1766184
AK,1997,Commercial,2180632
AK,1997,Industrial,755723
AK,1997,Residential,1725834
AK,1998,Commercial,2306729
AK,1998,Industrial,818182
AK,1998,Residential,1767992
AK,1999,Commercial,2385303
AK,1999,Industrial,843733
AK,1999,Residential,1865743
AK,2000,Commercial,2236477
AK,2000,Industrial,1036627
AK,2000,Residential,1854968
AK,2001,Commercial,2289011
AK,2001,Industrial,1079423
AK,2001,Residential,1891468
AK,2002,Commercial,2238236
AK,2002,Industrial,1087855
AK,2002,Residential,1932217
AK,2003,Commercial,2473028
AK,2003,Industrial,1103645
AK,2003,Residential,1987009
AK,2004,Commercial,2600608
AK,2004,Industrial,1125971
AK,2004,Residential,2061905
AK,2005,Commercial,2694911
AK,2005,Industrial,1156008
AK,2005,Residential,2061652
AK,2006,Commercial,2819210
AK,2006,Industrial,1242827
AK,2006,Residential,2120254
AK,2007,Commercial,2828388
AK,2007,Industrial,1383766
AK,2007,Residential,2114456
AK,2008,Commercial,2851782
AK,2008,Industrial,1344351
AK,2008,Residential,2129811
AK,2009,Commercial,2841337
AK,2009,Industrial,1311441
AK,2009,Residential,2117393
AK,2010,Commercial,2829738
AK,2010,Industrial,1324083
AK,2010,Residential,2093217
AK,2011,Commercial,2854410
AK,2011,Industrial,1330708
AK,2011,Residential,2134422
AK,2012,Commercial,2875038
AK,2012,Industrial,1381177
AK,2012,Residential,2160196
AK,2013,Commercial,2824199
AK,2013,Industrial,1340047
AK,2013,Residential,2103966
AK,2014,Commercial,2761518
AK,2014,Industrial,1359680
AK,2014,Residential,2043614
AK,2015,Commercial,2763491
AK,2015,Industrial,1351529
AK,2015,Residential,2044184
AK,2016,Commercial,2731499
AK,2016,Industrial,1385311
AK,2016,Residential,2006392
AK,2017,Commercial,2704890
AK,2017,Industrial,1420560
AK,2017,Residential,2060349
AK,2018,Commercial,2646058
AK,2018,Industrial,1351503
AK,2018,Residential,1974906
AK,2019,Commercial,2638846
AK,2019,Industrial,1251751
AK,2019,Residential,1928208
AK,2020,Commercial,2524116
AK,2020,Industrial,1304415
AK,2020,Residential,2089046
AK,2021,Commercial,2558649
AK,2021,Industrial,1326779
AK,2021,Residential,2083911
AK,2022,Commercial,2575918
AK,2022,Industrial,1375690
AK,2022,Residential,2050472
AK,2023,Commercial,2602872
AK,2023,Industrial,1371059
AK,2023,Residential,2050667
AK,2024,Commercial,2603674
AK,2024,Industrial,1372235
AK,2024,Residential,2070594
AL,1990,Commercial,10978790
AL,1990,Industrial,27617687
AL,1990,Residential,20718677
AL,1991,Commercial,11349000
AL,1991,Industrial,27985476
AL,1991,Residential,21293428
AL,1992,Commercial,10916983
AL,1992,Industrial,29476078
AL,1992,Residential,21136706
AL,1993,Commercial,11254231
AL,1993,Industrial,30523625
AL,1993,Residential,22627783
AL,1994,Commercial,11844229
AL,1994,Industrial,31918985
AL,1994,Residential,23158543
AL,1995,Commercial,12284265
AL,1995,Industrial,32847459
AL,1995,Residential,24313900
AL,1996,Commercial,13327556
AL,1996,Industrial,33522650
AL,1996,Residential,25634024
AL,1997,Commercial,16397194
AL,1997,Industrial,32617254
AL,1997,Residential,24893128
AL,1998,Commercial,17662317
AL,1998,Industrial,33539416
AL,1998,Residential,27327100
AL,1999,Commercial,18144535
AL,1999,Industrial,34532960
AL,1999,Residential,27047743
AL,2000,Commercial,19056898
AL,2000,Industrial,35034489
AL,2000,Residential,28756115
AL,2001,Commercial,18868139
AL,2001,Industrial,31949084
AL,2001,Residential,27802207
AL,2002,Commercial,19665858
AL,2002,Industrial,32615340
AL,2002,Residential,30021763
AL,2003,Commercial,20410633
AL,2003,Industrial,34017169
AL,2003,Residential,29416418
AL,2004,Commercial,21166144
AL,2004,Industrial,35595260
AL,2004,Residential,30109115
AL,2005,Commercial,21607755
AL,2005,Industrial,36278765
AL,2005,Residential,31315100
AL,2006,Commercial,22119933
AL,2006,Industrial,36280679
AL,2006,Residential,32277083
AL,2007,Commercial,22872543
AL,2007,Industrial,36172477
AL,2007,Residential,32783444
AL,2008,Commercial,22533120
AL,2008,Industrial,34989619
AL,2008,Residential,32184540
AL,2009,Commercial,21918478
AL,2009,Industrial,29436713
AL,2009,Residential,31489411
AL,2010,Commercial,22983768
AL,2010,Industrial,32349585
AL,2010,Residential,35529292
AL,2011,Commercial,22257127
AL,2011,Industrial,33735427
AL,2011,Residential,33002815
AL,2012,Commercial,21799181
AL,2012,Industrial,33751106
AL,2012,Residential,30632261
AL,2013,Commercial,22603229
AL,2013,Industrial,33870219
AL,2013,Residential,31378659
AL,2014,Commercial,22929309
AL,2014,Industrial,34634820
AL,2014,Residential,32929598
AL,2015,Commercial,23437831
AL,2015,Industrial,33499182
AL,2015,Residential,31908530
AL,2016,Commercial,23634474
AL,2016,Industrial,32535121
AL,2016,Residential,32055546
AL,2017,Commercial,22743813
AL,2017,Industrial,33316872
AL,2017,Residential,30181045
AL,2018,Commercial,23483072
AL,2018,Industrial,33717004
AL,2018,Residential,33080380
AL,2019,Commercial,23076470
AL,2019,Industrial,32602996
AL,2019,Residential,32415646
AL,2020,Commercial,21307775
AL,2020,Industrial,30756789
AL,2020,Residential,31331041
AL,2021,Commercial,21844283
AL,2021,Industrial,32155730
AL,2021,Residential,31585153
AL,2022,Commercial,22391068
AL,2022,Industrial,31712904
AL,2022,Residential,32923573
AL,2023,Commercial,22213494
AL,2023,Industrial,31257213
AL,2023,Residential,31409652
AL,2024,Commercial,22861620
AL,2024,Industrial,31762241
AL,2024,Residential,32899071
AR,1990,Commercial,6075079
AR,1990,Industrial,10126208
AR,1990,Residential,10557866
AR,1991,Commercial,6300359
AR,1991,Industrial,10517510
AR,1991,Residential,11000632
AR,1992,Commercial,6176586
AR,1992,Industrial,11251478
AR,1992,Residential,10440088
AR,1993,Commercial,6698105
AR,1993,Industrial,12609005
AR,1993,Residential,11761761
AR,1994,Commercial,6865634
AR,1994,Industrial,13525887
AR,1994,Residential,11642130
AR,1995,Commercial,7146835
AR,1995,Industrial,14483009
AR,1995,Residential,12416960
AR,1996,Commercial,7442490
AR,1996,Industrial,15139481
AR,1996,Residential,12933994
AR,1997,Commercial,7597337
AR,1997,Industrial,15632217
AR,1997,Residential,12989655
AR,1998,Commercial,8204704
AR,1998,Industrial,16065970
AR,1998,Residential,14339398
AR,1999,Commercial,8374110
AR,1999,Industrial,16679670
AR,1999,Residential,14045427
AR,2000,Commercial,8746494
AR,2000,Industrial,17268195
AR,2000,Residential,14870777
AR,2001,Commercial,9153493
AR,2001,Industrial,16734270
AR,2001,Residential,15103946
AR,2002,Commercial,9304383
AR,2002,Industrial,16886708
AR,2002,Residential,15527374
AR,2003,Commercial,10568019
AR,2003,Industrial,16941939
AR,2003,Residential,15598301
AR,2004,Commercial,10730967
AR,2004,Industrial,17321996
AR,2004,Residential,15619397
AR,2005,Commercial,11366398
AR,2005,Industrial,17664832
AR,2005,Residential,17133693
AR,2006,Commercial,11580534
AR,2006,Industrial,17990009
AR,2006,Residential,17065081
AR,2007,Commercial,11801297
AR,2007,Industrial,17839032
AR,2007,Residential,17414562
AR,2008,Commercial,11703351
AR,2008,Industrial,17038455
AR,2008,Residential,17392467
AR,2009,Commercial,11476900
AR,2009,Industrial,14710294
AR,2009,Residential,16985526
AR,2010,Commercial,12188205
AR,2010,Industrial,16774699
AR,2010,Residential,19230961
AR,2011,Commercial,12146130
AR,2011,Industrial,16993922
AR,2011,Residential,18787349
AR,2012,Commercial,12102048
AR,2012,Industrial,16847755
AR,2012,Residential,17909301
AR,2013,Commercial,11897953
AR,2013,Industrial,16565377
AR,2013,Residential,18219287
AR,2014,Commercial,11988033
AR,2014,Industrial,16650718
AR,2014,Residential,18441119
AR,2015,Commercial,12153236
AR,2015,Industrial,16038092
AR,2015,Residential,18273389
AR,2016,Commercial,12177633
AR,2016,Industrial,16226147
AR,2016,Residential,17784233
AR,2017,Commercial,11912518
AR,2017,Industrial,17146265
AR,2017,Residential,17026779
AR,2018,Commercial,12278279
AR,2018,Industrial,18064787
AR,2018,Residential,19259204
AR,2019,Commercial,11948689
AR,2019,Industrial,17411611
AR,2019,Residential,18732316
AR,2020,Commercial,11110416
AR,2020,Industrial,16760182
AR,2020,Residential,17980206
AR,2021,Commercial,11516908
AR,2021,Industrial,18228014
AR,2021,Residential,18918015
AR,2022,Commercial,11786525
AR,2022,Industrial,17960258
AR,2022,Residential,19250661
AR,2023,Commercial,11694057
AR,2023,Industrial,18581004
AR,2023,Residential,18373971
AR,2024,Commercial,11789053
AR,2024,Industrial,19525858
AR,2024,Residential,18580638
AZ,1990,Commercial,13731290
AZ,1990,Industrial,10033740
AZ,1990,Residential,15377684
AZ,1991,Commercial,13982060
AZ,1991,Industrial,10404969
AZ,1991,Residential,15641499
AZ,1992,Commercial,14467708
AZ,1992,Industrial,11055253
AZ,1992,Residential,16230297
AZ,1993,Commercial,14813140
AZ,1993,Industrial,10989057
AZ,1993,Residential,16705090
AZ,1994,Commercial,15624769
AZ,1994,Industrial,11303258
AZ,1994,Residential,18212371
AZ,1995,Commercial,16289626
AZ,1995,Industrial,11991782
AZ,1995,Residential,18035537
AZ,1996,Commercial,17252365
AZ,1996,Industrial,12782917
AZ,1996,Residential,19746491
AZ,1997,Commercial,17788390
AZ,1997,Industrial,13253007
AZ,1997,Residential,20682568
AZ,1998,Commercial,18439797
AZ,1998,Industrial,12548978
AZ,1998,Residential,21610888
AZ,1999,Commercial,19776460
AZ,1999,Industrial,12456220
AZ,1999,Residential,22517435
AZ,2000,Commercial,21410702
AZ,2000,Industrial,11975136
AZ,2000,Residential,24843978
AZ,2001,Commercial,22045220
AZ,2001,Industrial,11376746
AZ,2001,Residential,26200172
AZ,2002,Commercial,22371092
AZ,2002,Industrial,11026379
AZ,2002,Residential,26412614
AZ,2003,Commercial,25424540
AZ,2003,Industrial,10913500
AZ,2003,Residential,27741520
AZ,2004,Commercial,26106424
AZ,2004,Industrial,11906176
AZ,2004,Residential,28920651
AZ,2005,Commercial,27468349
AZ,2005,Industrial,11378692
AZ,2005,Residential,30543645
AZ,2006,Commercial,28625909
AZ,2006,Industrial,12259392
AZ,2006,Residential,32367475
AZ,2007,Commercial,30475259
AZ,2007,Industrial,12281290
AZ,2007,Residential,34436657
AZ,2008,Commercial,30162195
AZ,2008,Industrial,12869351
AZ,2008,Residential,33236370
AZ,2009,Commercial,29385690
AZ,2009,Industrial,11200396
AZ,2009,Residential,32846843
AZ,2010,Commercial,28942918
AZ,2010,Industrial,11441974
AZ,2010,Residential,32448138
AZ,2011,Commercial,29512330
AZ,2011,Industrial,12352241
AZ,2011,Residential,33079074
AZ,2012,Commercial,29692256
AZ,2012,Industrial,12448117
AZ,2012,Residential,32922970
AZ,2013,Commercial,30039018
AZ,2013,Industrial,12519417
AZ,2013,Residential,33103602
AZ,2014,Commercial,29289879
AZ,2014,Industrial,14661727
AZ,2014,Residential,32346079
AZ,2015,Commercial,29284431
AZ,2015,Industrial,14891564
AZ,2015,Residential,33167205
AZ,2016,Commercial,29564157
AZ,2016,Industrial,14975656
AZ,2016,Residential,33690783
AZ,2017,Commercial,29681441
AZ,2017,Industrial,13706041
AZ,2017,Residential,34251220
AZ,2018,Commercial,29683550
AZ,2018,Industrial,13994441
AZ,2018,Residential,34660297
AZ,2019,Commercial,29415272
AZ,2019,Industrial,13782704
AZ,2019,Residential,34720050
AZ,2020,Commercial,29128178
AZ,2020,Industrial,14113139
AZ,2020,Residential,38707416
AZ,2021,Commercial,29990064
AZ,2021,Industrial,14089072
AZ,2021,Residential,37130339
AZ,2022,Commercial,31507070
AZ,2022,Industrial,14311610
AZ,2022,Residential,38367633
AZ,2023,Commercial,32619680
AZ,2023,Industrial,14296687
AZ,2023,Residential,38992365
AZ,2024,Commercial,36100156
AZ,2024,Industrial,14297880
AZ,2024,Residential,40434931
CA,1990,Commercial,79691297
