State,Year,Water_Usage
Alabama,2000,6609.3540776
Arizona,2000,9260.831460007
Arkansas,2000,4346.423128783
California,2000,48897.844434207
Colorado,2000,7412.1690634
Connecticut,2000,2900.133004004
Delaware,2000,577.475040682
Florida,2000,19653.161214772
Georgia,2000,10877.645536644
Idaho,2000,2234.023237876
Illinois,2000,19255.80621242
Indiana,2000,7840.82535342
Iowa,2000,3871.232569951
Kansas,2000,6003.385365425
Kentucky,2000,5981.97870578
Louisiana,2000,7241.90448714
Maine,2000,978.84174098
Maryland,2000,6710.17910704
Massachusetts,2000,6437.85193028
Michigan,2000,12531.592601437
Minnesota,2000,5791.63419392
Mississippi,2000,4934.87782048
Missouri,2000,6312.08382366
Montana,2000,1394.74942449
Nebraska,2000,3263.770452334
Nevada,2000,4394.317844299
New Hampshire,2000,828.071327612
New Jersey,2000,9226.737562827
New Mexico,2000,2996.820557426
New York,2000,26685.829009285
North Carolina,2000,9519.34041497
North Dakota,2000,820.04326166
Ohio,2000,16306.474259035
Oklahoma,2000,6188.303902901
Oregon,2000,6407.718471189
Pennsylvania,2000,14437.6381233559
Rhode Island,2000,1364.72139328
South Carolina,2000,5742.77823084
South Dakota,2000,1070.214098486
Tennessee,2000,6465.90375045
Texas,2000,42551.218581539
Utah,2000,5359.182512169
Vermont,2000,326.30529234
Virginia,2000,14143.355316256
Washington,2000,7661.81458532
West Virginia,2000,1967.85592029
Wisconsin,2000,5834.365122987
Wyoming,2000,965.179974868
Alabama,2001,6685.8642673
Arizona,2001,9403.004901336
Arkansas,2001,4428.167400022
California,2001,49141.445732144
Colorado,2001,7513.711556297
Connecticut,2001,3018.378507704
Delaware,2001,591.98028611
Florida,2001,19458.048107145
Georgia,2001,10913.595770023
Idaho,2001,2286.697732333
Illinois,2001,19436.217799831
Indiana,2001,7949.75426325
Iowa,2001,3824.438100192
Kansas,2001,5921.71146999
Kentucky,2001,6041.35371186
Louisiana,2001,6824.49233531
Maine,2001,1003.07802516
Maryland,2001,6681.39808165
Massachusetts,2001,6394.04857215
Michigan,2001,12788.747545228
Minnesota,2001,5817.132999201
Mississippi,2001,4846.66741325
Missouri,2001,6351.428586339
Montana,2001,1418.49581125
Nebraska,2001,3281.244220717
Nevada,2001,4574.200577703
New Hampshire,2001,913.949788618
New Jersey,2001,9797.345955586
New Mexico,2001,2933.657916391
New York,2001,28700.615884805
North Carolina,2001,9813.15156111
North Dakota,2001,823.338568633
Ohio,2001,16255.603378509
Oklahoma,2001,6111.411662966
Oregon,2001,6465.1362021
Pennsylvania,2001,14806.279159409
Rhode Island,2001,1434.90781171
South Carolina,2001,5828.82020605
South Dakota,2001,1067.901383505
Tennessee,2001,6510.72322062
Texas,2001,42054.095497514
Utah,2001,5458.3595209
Vermont,2001,350.372380063
Virginia,2001,14902.014007771
Washington,2001,7741.5137261248
West Virginia,2001,1974.93822817
Wisconsin,2001,5895.366133727
Wyoming,2001,970.535673341
Alabama,2002,6793.89601657
Arizona,2002,9771.593194543
Arkansas,2002,4379.779902414
California,2002,49105.322606073
Colorado,2002,7687.316420454
Connecticut,2002,3005.559325991
Delaware,2002,587.3016245
Florida,2002,19158.171180218
Georgia,2002,11010.781425819
Idaho,2002,2310.252584268
Illinois,2002,19162.384409004
Indiana,2002,7938.73127903
Iowa,2002,3859.284546588
Kansas,2002,5887.52654329
Kentucky,2002,6126.11885081
Louisiana,2002,6892.76211399
Maine,2002,980.63840832
Maryland,2002,6572.867448663
Massachusetts,2002,6349.63168884
Michigan,2002,13210.352781651
Minnesota,2002,5560.891754468
Mississippi,2002,4803.79495901
Missouri,2002,6369.433159497
Montana,2002,1388.853822356
Nebraska,2002,3310.360285106
Nevada,2002,4677.265830147
New Hampshire,2002,860.400042376
New Jersey,2002,9664.664076429
New Mexico,2002,3002.954239785
New York,2002,28597.432047175
North Carolina,2002,9942.94871769
North Dakota,2002,835.986603606
Ohio,2002,16331.119793598
Oklahoma,2002,5972.878514187
Oregon,2002,6728.78731016
Pennsylvania,2002,14626.782271755
Rhode Island,2002,1380.89204254
South Carolina,2002,5811.8462057
South Dakota,2002,1092.324180157
Tennessee,2002,6534.56170759
Texas,2002,41398.196908102
Utah,2002,5466.642340524
Vermont,2002,330.052111501
Virginia,2002,15123.010197197
Washington,2002,7915.904774178
West Virginia,2002,1969.99587939
Wisconsin,2002,5965.037297014
Wyoming,2002,981.609994607
Alabama,2003,6752.45509838
Arizona,2003,9729.902486234
Arkansas,2003,4335.623631004
California,2003,50573.618423458
Colorado,2003,7698.410652495
Connecticut,2003,3066.087950062
Delaware,2003,616.61935131
Florida,2003,19567.242930311
Georgia,2003,10730.182276095
Idaho,2003,2370.868740697
Illinois,2003,19212.33885871
Indiana,2003,7571.23529139
Iowa,2003,3819.573574745
Kansas,2003,5728.592701521
Kentucky,2003,6029.26548994
Louisiana,2003,6744.34987787
Maine,2003,977.69991762
Maryland,2003,6898.417236989
Massachusetts,2003,6721.0002116
Michigan,2003,12645.51937871
Minnesota,2003,5719.619576766
Mississippi,2003,4682.50258746
Missouri,2003,6491.973178733
Montana,2003,1436.318918429
Nebraska,2003,3206.095814962
Nevada,2003,4907.529821772
New Hampshire,2003,856.819948901
New Jersey,2003,9652.328822341
New Mexico,2003,3020.613397728
New York,2003,28482.712687905
North Carolina,2003,9682.02751736
North Dakota,2003,853.812355455
Ohio,2003,16050.226546194
Oklahoma,2003,6208.284790671
Oregon,2003,6883.359331205
Pennsylvania,2003,14565.302993699
Rhode Island,2003,1444.32672337
South Carolina,2003,5841.76238673
South Dakota,2003,1075.546325053
Tennessee,2003,6606.3409178
Texas,2003,41957.482667879
Utah,2003,5597.254083176
Vermont,2003,338.91850132
Virginia,2003,14464.047990476
Washington,2003,8154.0298336874
West Virginia,2003,1864.49460544
Wisconsin,2003,6011.442751244
Wyoming,2003,995.911897507
Alabama,2004,6907.57618643
Arizona,2004,9958.264126003
Arkansas,2004,4262.917200989
California,2004,50218.488394654
Colorado,2004,7647.024271692
Connecticut,2004,3137.983762954
Delaware,2004,612.46693126
Florida,2004,19960.866695879
Georgia,2004,10965.026775331
Idaho,2004,2336.646910599
Illinois,2004,18810.078379265
Indiana,2004,7762.96486894
Iowa,2004,3748.74720792
Kansas,2004,5717.771900019
Kentucky,2004,6066.72378997
Louisiana,2004,6830.60591556
Maine,2004,985.638555
Maryland,2004,6742.052707112
Massachusetts,2004,6826.23158156
Michigan,2004,11990.354826529
Minnesota,2004,5752.707460097
Mississippi,2004,4632.603437586
Missouri,2004,6475.409583668
Montana,2004,1391.669608372
Nebraska,2004,3257.136949235
Nevada,2004,5078.796909561
New Hampshire,2004,837.359140184
New Jersey,2004,9886.392740901
New Mexico,2004,2880.979789385
New York,2004,28843.02132391
North Carolina,2004,9996.94549576
North Dakota,2004,818.139638561
Ohio,2004,16401.343256019
Oklahoma,2004,5946.22245695
Oregon,2004,6649.817955531
Pennsylvania,2004,14773.323021478
Rhode Island,2004,1395.84517539
South Carolina,2004,5964.37870954
South Dakota,2004,1061.874676485
Tennessee,2004,6693.63050864
Texas,2004,40978.533535101
Utah,2004,5619.994402907
Vermont,2004,331.24480439
Virginia,2004,14908.112020511
Washington,2004,8055.609463693
West Virginia,2004,1885.165433898
Wisconsin,2004,5874.098042043
Wyoming,2004,993.167799903
Alabama,2005,6951.03713687
Arizona,2005,10082.366038968
Arkansas,2005,4446.840523525
California,2005,50803.43980353
Colorado,2005,7934.172180402
Connecticut,2005,3107.394119967
Delaware,2005,608.49015434
Florida,2005,20492.26765858
Georgia,2005,11149.320990423
Idaho,2005,2367.778704922
Illinois,2005,18621.176918677
Indiana,2005,7897.54758142
Iowa,2005,3854.734775576
Kansas,2005,5776.913789117
Kentucky,2005,6054.11765442
Louisiana,2005,6919.40168959
Maine,2005,983.50083072
Maryland,2005,6786.264197225
Massachusetts,2005,6829.52718002
Michigan,2005,12631.312442108
Minnesota,2005,5811.40037564
Mississippi,2005,4741.543256511
Missouri,2005,6581.758855742
Montana,2005,1402.722461725
Nebraska,2005,3255.66923701
Nevada,2005,5195.73819345
New Hampshire,2005,858.081621382
New Jersey,2005,10436.742432872
New Mexico,2005,2989.370159699
New York,2005,29203.64761467
North Carolina,2005,10232.52748799
North Dakota,2005,823.786679776
Ohio,2005,16607.501196693
Oklahoma,2005,6006.601908435
Oregon,2005,6694.332837697
Pennsylvania,2005,14992.866773581
Rhode Island,2005,1409.43801954
South Carolina,2005,5937.34249098
South Dakota,2005,1071.947771577
Tennessee,2005,6792.46383884
Texas,2005,44578.095259407
Utah,2005,5688.862531485
Vermont,2005,333.751349769
Virginia,2005,15289.26749307
Washington,2005,8167.685268797
West Virginia,2005,1913.45079071
Wisconsin,2005,6108.195846528
Wyoming,2005,1003.189592005
Alabama,2006,7049.97445672
Arizona,2006,10253.913810777
Arkansas,2006,4436.734294077
California,2006,52101.361633328
Colorado,2006,8106.092033276
Connecticut,2006,3064.879485834
Delaware,2006,609.388887014
Florida,2006,21548.343803819
Georgia,2006,11637.929615239
Idaho,2006,2434.191834908
Illinois,2006,19257.483382909
Indiana,2006,7812.43839665
Iowa,2006,3795.1867502
Kansas,2006,5779.93896965
Kentucky,2006,6137.43204774
Louisiana,2006,7295.60269728
Maine,2006,994.00667351
Maryland,2006,7038.660513495
Massachusetts,2006,6905.88531701
Michigan,2006,11973.842850736
Minnesota,2006,5789.01634362
Mississippi,2006,4859.08799974
Missouri,2006,6650.26774253
Montana,2006,1452.574373688
Nebraska,2006,3260.773311967
Nevada,2006,5318.81047233
New Hampshire,2006,842.987195223
New Jersey,2006,10123.028648907
New Mexico,2006,2918.644087062
New York,2006,29502.373540925
North Carolina,2006,10287.18605718
North Dakota,2006,885.535135942
Ohio,2006,16657.588372202
Oklahoma,2006,6331.891512862
Oregon,2006,6897.746479522
Pennsylvania,2006,15011.718614353
Rhode Island,2006,1346.88582035
South Carolina,2006,6036.1555521
South Dakota,2006,1088.802725212
Tennessee,2006,6971.23491395
Texas,2006,45760.510198971
Utah,2006,5831.619942936
Vermont,2006,336.074442453
Virginia,2006,15277.39074177
Washington,2006,8546.3182397042
West Virginia,2006,1915.299013752
Wisconsin,2006,5846.600427156
Wyoming,2006,1039.765996044
Alabama,2007,7169.1347419
Arizona,2007,10401.267931743
Arkansas,2007,4370.182315712
California,2007,52725.784963367
Colorado,2007,7983.799647007
Connecticut,2007,3076.475935895
Delaware,2007,622.343614147
Florida,2007,22266.092638263
Georgia,2007,11989.335819358
Idaho,2007,2526.419737653
Illinois,2007,19010.441149175
Indiana,2007,8102.82034939
Iowa,2007,3790.027084689
Kansas,2007,5764.373277916
Kentucky,2007,6126.50750501
Louisiana,2007,7076.8615838
Maine,2007,1002.82542628
Maryland,2007,7525.315885206
Massachusetts,2007,6837.78433283
Michigan,2007,12539.124753176
Minnesota,2007,5972.046040514
Mississippi,2007,4837.22698487
Missouri,2007,6603.974577582
Montana,2007,1443.900225496
Nebraska,2007,3185.123000063
Nevada,2007,5566.977670075
New Hampshire,2007,888.664961012
New Jersey,2007,10164.76425566
New Mexico,2007,2962.919134836
New York,2007,29863.153710712
North Carolina,2007,11133.35141019
North Dakota,2007,847.011955253
Ohio,2007,17017.351405691
Oklahoma,2007,5951.868274047
Oregon,2007,6801.480830956
Pennsylvania,2007,15181.781227004
Rhode Island,2007,1403.35939119
South Carolina,2007,6246.21556016
