state_abbrev,state_name,year,sector,electricity_usage_mwh
AK,Alaska,1990,Commercial,1972116
AK,Alaska,1990,Industrial,459282
AK,Alaska,1990,Residential,1661311
AK,Alaska,1991,Commercial,2005247
AK,Alaska,1991,Industrial,465878
AK,Alaska,1991,Residential,1602777
AK,Alaska,1992,Commercial,2034708
AK,Alaska,1992,Industrial,504277
AK,Alaska,1992,Residential,1640136
AK,Alaska,1993,Commercial,2062399
AK,Alaska,1993,Industrial,501059
AK,Alaska,1993,Residential,1629036
AK,Alaska,1994,Commercial,2154843
AK,Alaska,1994,Industrial,511428
AK,Alaska,1994,Residential,1688134
AK,Alaska,1995,Commercial,2200043
AK,Alaska,1995,Industrial,546437
AK,Alaska,1995,Residential,1712906
AK,Alaska,1996,Commercial,2249874
AK,Alaska,1996,Industrial,584198
AK,Alaska,1996,Residential,1766184
AK,Alaska,1997,Commercial,2180632
AK,Alaska,1997,Industrial,755723
AK,Alaska,1997,Residential,1725834
AK,Alaska,1998,Commercial,2306729
AK,Alaska,1998,Industrial,818182
AK,Alaska,1998,Residential,1767992
AK,Alaska,1999,Commercial,2385303
AK,Alaska,1999,Industrial,843733
AK,Alaska,1999,Residential,1865743
AK,Alaska,2000,Commercial,2236477
AK,Alaska,2000,Industrial,1036627
AK,Alaska,2000,Residential,1854968
AK,Alaska,2001,Commercial,2289011
AK,Alaska,2001,Industrial,1079423
AK,Alaska,2001,Residential,1891468
AK,Alaska,2002,Commercial,2238236
AK,Alaska,2002,Industrial,1087855
AK,Alaska,2002,Residential,1932217
AK,Alaska,2003,Commercial,2473028
AK,Alaska,2003,Industrial,1103645
AK,Alaska,2003,Residential,1987009
AK,Alaska,2004,Commercial,2600608
AK,Alaska,2004,Industrial,1125971
AK,Alaska,2004,Residential,2061905
AK,Alaska,2005,Commercial,2694911
AK,Alaska,2005,Industrial,1156008
AK,Alaska,2005,Residential,2061652
AK,Alaska,2006,Commercial,2819210
AK,Alaska,2006,Industrial,1242827
AK,Alaska,2006,Residential,2120254
AK,Alaska,2007,Commercial,2828388
AK,Alaska,2007,Industrial,1383766
AK,Alaska,2007,Residential,2114456
AK,Alaska,2008,Commercial,2851782
AK,Alaska,2008,Industrial,1344351
AK,Alaska,2008,Residential,2129811
AK,Alaska,2009,Commercial,2841337
AK,Alaska,2009,Industrial,1311441
AK,Alaska,2009,Residential,2117393
AK,Alaska,2010,Commercial,2829738
AK,Alaska,2010,Industrial,1324083
AK,Alaska,2010,Residential,2093217
AK,Alaska,2011,Commercial,2854410
AK,Alaska,2011,Industrial,1330708
AK,Alaska,2011,Residential,2134422
AK,Alaska,2012,Commercial,2875038
AK,Alaska,2012,Industrial,1381177
AK,Alaska,2012,Residential,2160196
AK,Alaska,2013,Commercial,2824199
AK,Alaska,2013,Industrial,1340047
AK,Alaska,2013,Residential,2103966
AK,Alaska,2014,Commercial,2761518
AK,Alaska,2014,Industrial,1359680
AK,Alaska,2014,Residential,2043614
AK,Alaska,2015,Commercial,2763491
AK,Alaska,2015,Industrial,1351529
AK,Alaska,2015,Residential,2044184
AK,Alaska,2016,Commercial,2731499
AK,Alaska,2016,Industrial,1385311
AK,Alaska,2016,Residential,2006392
AK,Alaska,2017,Commercial,2704890
AK,Alaska,2017,Industrial,1420560
AK,Alaska,2017,Residential,2060349
AK,Alaska,2018,Commercial,2646058
AK,Alaska,2018,Industrial,1351503
AK,Alaska,2018,Residential,1974906
AK,Alaska,2019,Commercial,2638846
AK,Alaska,2019,Industrial,1251751
AK,Alaska,2019,Residential,1928208
AK,Alaska,2020,Commercial,2524116
AK,Alaska,2020,Industrial,1304415
AK,Alaska,2020,Residential,2089046
AK,Alaska,2021,Commercial,2558649
AK,Alaska,2021,Industrial,1326779
AK,Alaska,2021,Residential,2083911
AK,Alaska,2022,Commercial,2575918
AK,Alaska,2022,Industrial,1375690
AK,Alaska,2022,Residential,2050472
AK,Alaska,2023,Commercial,2602872
AK,Alaska,2023,Industrial,1371059
AK,Alaska,2023,Residential,2050667
AK,Alaska,2024,Commercial,2603674
AK,Alaska,2024,Industrial,1372235
AK,Alaska,2024,Residential,2070594
AL,Alabama,1990,Commercial,10978790
AL,Alabama,1990,Industrial,27617687
AL,Alabama,1990,Residential,20718677
AL,Alabama,1991,Commercial,11349000
AL,Alabama,1991,Industrial,27985476
AL,Alabama,1991,Residential,21293428
AL,Alabama,1992,Commercial,10916983
AL,Alabama,1992,Industrial,29476078
AL,Alabama,1992,Residential,21136706
AL,Alabama,1993,Commercial,11254231
AL,Alabama,1993,Industrial,30523625
AL,Alabama,1993,Residential,22627783
AL,Alabama,1994,Commercial,11844229
AL,Alabama,1994,Industrial,31918985
AL,Alabama,1994,Residential,23158543
AL,Alabama,1995,Commercial,12284265
AL,Alabama,1995,Industrial,32847459
AL,Alabama,1995,Residential,24313900
AL,Alabama,1996,Commercial,13327556
AL,Alabama,1996,Industrial,33522650
AL,Alabama,1996,Residential,25634024
AL,Alabama,1997,Commercial,16397194
AL,Alabama,1997,Industrial,32617254
AL,Alabama,1997,Residential,24893128
AL,Alabama,1998,Commercial,17662317
AL,Alabama,1998,Industrial,33539416
AL,Alabama,1998,Residential,27327100
AL,Alabama,1999,Commercial,18144535
AL,Alabama,1999,Industrial,34532960
AL,Alabama,1999,Residential,27047743
AL,Alabama,2000,Commercial,19056898
AL,Alabama,2000,Industrial,35034489
AL,Alabama,2000,Residential,28756115
AL,Alabama,2001,Commercial,18868139
AL,Alabama,2001,Industrial,31949084
AL,Alabama,2001,Residential,27802207
AL,Alabama,2002,Commercial,19665858
AL,Alabama,2002,Industrial,32615340
AL,Alabama,2002,Residential,30021763
AL,Alabama,2003,Commercial,20410633
AL,Alabama,2003,Industrial,34017169
AL,Alabama,2003,Residential,29416418
AL,Alabama,2004,Commercial,21166144
AL,Alabama,2004,Industrial,35595260
AL,Alabama,2004,Residential,30109115
AL,Alabama,2005,Commercial,21607755
AL,Alabama,2005,Industrial,36278765
AL,Alabama,2005,Residential,31315100
AL,Alabama,2006,Commercial,22119933
AL,Alabama,2006,Industrial,36280679
AL,Alabama,2006,Residential,32277083
AL,Alabama,2007,Commercial,22872543
AL,Alabama,2007,Industrial,36172477
AL,Alabama,2007,Residential,32783444
AL,Alabama,2008,Commercial,22533120
AL,Alabama,2008,Industrial,34989619
AL,Alabama,2008,Residential,32184540
AL,Alabama,2009,Commercial,21918478
AL,Alabama,2009,Industrial,29436713
AL,Alabama,2009,Residential,31489411
AL,Alabama,2010,Commercial,22983768
AL,Alabama,2010,Industrial,32349585
AL,Alabama,2010,Residential,35529292
AL,Alabama,2011,Commercial,22257127
AL,Alabama,2011,Industrial,33735427
AL,Alabama,2011,Residential,33002815
AL,Alabama,2012,Commercial,21799181
AL,Alabama,2012,Industrial,33751106
AL,Alabama,2012,Residential,30632261
AL,Alabama,2013,Commercial,22603229
AL,Alabama,2013,Industrial,33870219
AL,Alabama,2013,Residential,31378659
AL,Alabama,2014,Commercial,22929309
AL,Alabama,2014,Industrial,34634820
AL,Alabama,2014,Residential,32929598
AL,Alabama,2015,Commercial,23437831
AL,Alabama,2015,Industrial,33499182
AL,Alabama,2015,Residential,31908530
AL,Alabama,2016,Commercial,23634474
AL,Alabama,2016,Industrial,32535121
AL,Alabama,2016,Residential,32055546
AL,Alabama,2017,Commercial,22743813
AL,Alabama,2017,Industrial,33316872
AL,Alabama,2017,Residential,30181045
AL,Alabama,2018,Commercial,23483072
AL,Alabama,2018,Industrial,33717004
AL,Alabama,2018,Residential,33080380
AL,Alabama,2019,Commercial,23076470
AL,Alabama,2019,Industrial,32602996
AL,Alabama,2019,Residential,32415646
AL,Alabama,2020,Commercial,21307775
AL,Alabama,2020,Industrial,30756789
AL,Alabama,2020,Residential,31331041
AL,Alabama,2021,Commercial,21844283
AL,Alabama,2021,Industrial,32155730
AL,Alabama,2021,Residential,31585153
AL,Alabama,2022,Commercial,22391068
