state,datacenter_name,metadata
Texas,2323 Bryan Street (DFW10),"Digital Realty | 2323 Bryan Street | 75201 | Dallas | Texas, | USA | 2323 Bryan Street is located in downtown Dallas and consists of over 477,000 square feet."
Texas,4025 Midway Rd (DFW11),"Digital Realty | 4025 Midway Rd | 75007 | Carrollton | Texas, | USA | Conveniently located near the George Bush Turnpike and North Dallas Tollway this facility of more than 100,000 square feet, built in 2000 and renovated in 2008, provides an ideal data center location."
Texas,H5Colo  Inc.,"H5 Colo Inc. | 12712 Park Central Dr | 75251 | Dallas | Texas, | USA | H5 COLO is in a hardened SSAE 18 Type 2 Compliant SOC2 Data Center that provides high-quality Data Center and Colocation solutions. The facility management is on site and monitored by the Network Operations Center Staff and in-house engineering teams 24/7/365."
Texas,1232 Alma Road (DFW16),"Digital Realty | 1232 Alma Road | 75081 | Richardson | Texas, | USA | 1232 Alma Road is a 105,726 square foot free-standing building situated in Digital Realty Trust's 69-acre Datacenter Park - Dallas."
Texas,8435 Stemmons Freeway (DFW36),"Digital Realty | 8435 Stemmons Freeway | 75247 | Dallas | Texas, | USA | Telx is the leading colocation and interconnection service provider within 8435 Stemmons Freeway, the most connected datacenter in the Dallas/Fort Worth area."
Texas,900 Quality Way (DFW17),"Digital Realty | 900 Quality Way | 75081 | Richardson | Texas, | USA | 900 Quality Way has approximately 83,000 sq ft on the first floor and almost 29,000 sq ft on a second floor mezzanine."
Texas,850 E. Collins Boulevard (DFW28),"Digital Realty | 850 E. Collins Boulevard | 75081 | Richardson | Texas, | USA | Digital Realty's datacenter at 850 E. Collins Boulevard is in a 121,000 square foot free-standing facility in our 69-acre data campus known as Digital Dallas."
Texas,1210 Integrity Drive (DFW18),"Digital Realty | 1210 Integrity Drive | 75081 | Richardson | Texas, | USA | 1210 Integrity Drive is on a 7.73-acre green field in our 69-acre data campus known as Digital Dallas."
Texas,1215 Integrity Drive (DFW25),"Digital Realty | 1215 Integrity Drive | 75081 | Richardson | Texas, | USA | 1215 Integrity Drive is a single-story data center facility situated on the southwest corner of the 69-acre Digital Dallas data campus."
Texas,Cologix DAL1,"Cologix | 1950 N. Stemmons Fwy | 75207 | Dallas | Texas, | USA | Cologix operates a core Meet-Me-Room (MMR) in the renowned INFOMART building, the region's preeminent carrier hotel. Across two sites within the INFOMART building, Cologix offers 40,000 SQF of state-of-the-art data center space in one of the most robust communications markets in the U.S."
Texas,Cologix DAL3,"Cologix | 1950 North Stemmons Freeway | 75207 | Dallas | Texas, | USA | DAL3, at the Dallas Infomart, delivers an additional 13.2K SQFT and 2.25 MW of power to the growing Dallas market with 50+ unique networks in the Cologix-controlled Meet-Me-Room."
Texas,Cologix DAL2,"Cologix | 1950 North Stemmons Freeway | 75207 | Dallas | Texas, | USA | DAL2 is ideally suited to enterprise customers, with 50+ unique networks in the Cologix-controlled Meet-Me-Room. Meeting the interconnection expectations of a diverse clientele while keeping 99.999% uptime."
Texas,2440 Marsh Lane (DFW12),"Digital Realty | 2440 Marsh Lane | 75006 | Carrollton | Texas, | USA | Please see the profile for further details."
Texas,4849 Alpha Road (DFW14),"Digital Realty | 4849 Alpha Road | 75244 | Dallas | Texas, | USA | Please see the profile for further details."
Texas,907 Security Row (DFW35),"Digital Realty | 907 Security Row | 75081 | Richardson | Texas, | USA | Please see the profile for further details."
Texas,Flexential Dallas - Richardson Data Center,"Flexential | 3010 Waterview Parkway | 75080 | Richardson | Texas, | USA | Flexential helps organizations optimize their journey of IT transformation while simultaneously balancing cost, scalability and security."
Texas,950 E. Collins Boulevard (DFW29),"Digital Realty | 950 E. Collins Boulevard | 75081 | Richardson | Texas, | USA | 950 E. Collins is a 121,370 SF free-standing building located in Digital Realty's 69-acre data campus known as Digital Dallas."
Texas,Hivelocity - Dallas 1,"Hivelocity | 1515 Round Table Dr | 75247 | Dallas | Texas, | USA | In Dallas, we can offer colocation, dedicated servers or build custom cloud solutions. This location is manned 24/7 with Hivelocity technicians."
Texas,2501 S. State Highway 121 (DFW26),"Digital Realty | 2501 S. State Highway 121 | 75056 | Lewisville | Texas, | USA | Digital Convergence comprises 829,372 sq. ft. on 168.4 acres, including 60 acres of additional land for future development, located in Lewisville, Texas."
Texas,Flexential Dallas - Plano Data Center,"Flexential | 3500 E Plano Pkwy | 75074 | Plano | Texas, | USA | Flexential helps organizations optimize their journey of IT transformation while simultaneously balancing cost, scalability and security."
