state_abbrev,state_name,year,water_usage_mgal
AL,Alabama,2000,6609.354078
AL,Alabama,2001,6685.864267
AL,Alabama,2002,6793.896017
AL,Alabama,2003,6752.455098
AL,Alabama,2004,6907.576186
AL,Alabama,2005,6951.037137
AL,Alabama,2006,7049.974457
AL,Alabama,2007,7169.134742
AL,Alabama,2008,7027.104777
AL,Alabama,2009,7090.291496
AL,Alabama,2010,7263.908778
AL,Alabama,2011,7191.729243
AL,Alabama,2012,7097.349399
AL,Alabama,2013,7104.028839
AL,Alabama,2014,7135.946885
AL,Alabama,2015,7086.155064
AL,Alabama,2016,7048.288743
AL,Alabama,2017,7072.438005
AL,Alabama,2018,7219.369339
AL,Alabama,2019,7211.306135
AL,Alabama,2020,7097.239142
AR,Arkansas,2000,4346.423129
AR,Arkansas,2001,4428.1674
AR,Arkansas,2002,4379.779902
AR,Arkansas,2003,4335.623631
AR,Arkansas,2004,4262.917201
AR,Arkansas,2005,4446.840524
AR,Arkansas,2006,4436.734294
AR,Arkansas,2007,4370.182316
AR,Arkansas,2008,4332.409406
AR,Arkansas,2009,4371.979728
AR,Arkansas,2010,4582.025284
AR,Arkansas,2011,4657.936134
AR,Arkansas,2012,4781.588144
AR,Arkansas,2013,4565.550828
AR,Arkansas,2014,4531.899619
AR,Arkansas,2015,4530.141255
AR,Arkansas,2016,4512.956651
AR,Arkansas,2017,4563.725208
AR,Arkansas,2018,4591.312896
AR,Arkansas,2019,4596.7224
AR,Arkansas,2020,4490.24978
AZ,Arizona,2000,9260.83146
AZ,Arizona,2001,9403.004901
AZ,Arizona,2002,9771.593195
AZ,Arizona,2003,9729.902486
AZ,Arizona,2004,9958.264126
AZ,Arizona,2005,10082.36604
AZ,Arizona,2006,10253.91381
AZ,Arizona,2007,10401.26793
AZ,Arizona,2008,10554.28333
AZ,Arizona,2009,10841.02034
AZ,Arizona,2010,10792.49384
AZ,Arizona,2011,10996.35693
AZ,Arizona,2012,10852.67664
AZ,Arizona,2013,10797.20758
AZ,Arizona,2014,10962.27619
AZ,Arizona,2015,10579.17359
AZ,Arizona,2016,10789.86562
AZ,Arizona,2017,11185.56648
AZ,Arizona,2018,11176.99291
AZ,Arizona,2019,11004.66421
AZ,Arizona,2020,11259.12891
CA,California,2000,48897.84443
CA,California,2001,49141.44573
CA,California,2002,49105.32261
CA,California,2003,50573.61842
CA,California,2004,50218.48839
CA,California,2005,50803.4398
CA,California,2006,52101.36163
CA,California,2007,52725.78496
CA,California,2008,52096.72661
CA,California,2009,52015.20036
CA,California,2010,50956.14146
CA,California,2011,52337.83804
CA,California,2012,51255.52187
CA,California,2013,52709.29531
